m;Hour;Cloud amount (1/8);Pressure (msl) (hPa);Precipitation amount (mm);Relative humidity (%);Precipitation intensity (mm/h);Snow depth (cm);Air temperature (degC);Dew-point temperature (degC);Horizontal visibility (m);Wind direction (deg);Gust speed (m/s);Wind speed (m/s);Solar plant (kWh);dh_MWh
1;0;0;1011.5;0;90;0;0;-1.7;-3.1;22520;222;5.7;3.7;0;1164,031059
1;1;0;1011.3;0;89;0;0;-1.1;-2.7;41970;229;6.5;4.9;0;1148,63612
1;2;0;1010.9;0;86;0;0;-0.5;-2.5;50000;243;8.6;5.7;0;1121,186005
1;3;1;1010.7;0;85;0;0;-0.2;-2.4;50000;240;8.7;5.4;0;1119,677224
1;4;1;1010.1;0;85;0;0;-0.1;-2.2;50000;221;6.6;4.8;0;1142,77002
1;5;1;1009.8;0;86;0;0;-0.1;-2.1;50000;212;8.2;5.6;0;1178,899376
1;6;5;1009.6;0;83;0;0;0.7;-2;50000;224;8.9;5.8;0;1164,898011
1;7;7;1009.5;0;79;0;0;1.4;-1.9;50000;222;7.3;5;0;1163,550241
1;8;7;1009.4;0;78;0;0;1.8;-1.6;50000;217;6.9;4;0;1152,408554
1;9;7;1009.2;0;77;0;0;2.4;-1.2;50000;211;7.4;5.1;0;1143,935551
1;10;7;1008.5;0;78;0;0;2.5;-0.9;50000;216;6.2;3.6;19;1150,608961
1;11;7;1007.6;0;81;0;0;2.7;-0.3;50000;193;7.7;5.6;20;1151,221316
1;12;7;1007.6;0;80;0;0;3.2;0.1;50000;212;8.7;5.6;20;1130,523471
1;13;7;1007.2;0;77;0;0;3.1;-0.5;50000;226;9.1;6.1;0;1151,299043
1;14;5;1006.8;0;79;0;0;2.8;-0.5;50000;223;10.4;7.2;0;1163,834526
1;15;7;1006.8;0;79;0;0;2.8;-0.4;50000;230;10.3;7.3;0;1148,606145
1;16;7;1006.8;0;79;0;0;2.6;-0.6;50000;231;10.4;6.6;0;1152,546884
1;17;0;1006.9;0;81;0;0;2.2;-0.8;50000;224;9.2;7;0;1167,567937
1;18;1;1006.3;0;82;0;0;2;-0.7;50000;224;11.2;7.4;0;1145,919949
1;19;0;1006.4;0;82;0;0;2.2;-0.6;50000;228;11.7;7.6;0;1111,954331
1;20;0;1005.6;0;82;0;0;2.1;-0.6;50000;226;8.1;5.8;0;1083,038086
1;21;7;1005;0;82;0;0;2.5;-0.3;50000;219;9.9;6.3;0;1022,601309
1;22;3;1004.6;0;81;0;0;2.3;-0.6;50000;230;9.8;5.5;0;1025,777047
1;23;1;1003.9;0;81;0;0;2.3;-0.6;50000;224;9.1;6.4;0;1008,541297
1;0;7;1004.4;0;84;0;0;2.1;-0.4;50000;227;8.8;6;0;988,1341599
1;1;1;1003.8;0;84;0;0;2.1;-0.4;50000;225;8;5.8;0;988,6607529
1;2;1;1003.8;0;83;0;0;2.1;-0.5;50000;225;8.5;6.2;0;976,730427
1;3;0;1004.1;0;81;0;0;2.3;-0.6;50000;225;8.9;6.5;0;1009,467567
1;4;0;1003.9;0;79;0;0;2.4;-0.8;50000;225;9.9;6.9;0;1023,389967
1;5;0;1004.3;0;79;0;0;2.6;-0.6;50000;226;8.8;6.6;0;1120,279496
1;6;1;1004.3;0;79;0;0;2.7;-0.6;44720;226;8.6;6.6;0;1135,6171
1;7;3;1004.4;0;79;0;0;3;-0.4;39220;226;9.3;6.5;0;1142,600147
1;8;3;1004.7;0;79;0;0;3.1;-0.2;37280;228;8.3;5.9;0;1099,765972
1;9;0;1004.8;0;79;0;0;3.5;0.1;32380;215;7.8;4.9;20;1114,93157
1;10;1;1004.9;0;81;0;0;3.7;0.7;29700;214;6.3;3.4;31;1102,178441
1;11;0;1003.9;0;86;0;0;3.7;1.6;23140;195;7.8;5.6;39;1111,436073
1;12;0;1003.7;0;90;0;0;4.1;2.5;21460;194;9.1;6.6;21;1095,376726
1;13;7;1004;0;90;0;0;4.3;2.8;17160;198;7.1;4.8;20;1073,538994
1;14;3;1002.8;0;92;0;0;4;2.7;12630;195;10.5;6.5;0;1081,257788
1;15;5;1002.8;0;91;0;0;4.5;3.2;11930;201;11.8;7.5;0;1048,263331
1;16;7;1002.7;0;90;0;0;4.9;3.4;11110;202;13.9;8.3;0;1020,635853
1;17;1;1002.8;0;91;0;0;4.6;3.2;10670;206;11.8;7.8;0;1034,796595
1;18;5;1002.5;0;91;0;0;4.6;3.2;9730;199;12;7.9;0;1014,367749
1;19;7;1002.4;0;89;0;0;5;3.4;9630;203;12.2;7.3;0;983,5517559
1;20;8;1002.4;0;89;0;0;5.2;3.5;11700;203;12.7;7.1;0;949,6705955
1;21;7;1001.6;0;89;0;0;4.9;3.2;14590;203;13.8;8.8;0;924,3194248
1;22;8;1001.4;0;86;0;0;5;2.9;17370;210;13.2;8.5;0;892,1108076
1;23;8;1001.2;0;87;0;0;5;3;15350;206;13.5;9.2;0;874,2543342
1;0;8;1001.1;0;86;0;0;5;2.9;14870;208;15.8;9.5;0;884,5863668
1;1;8;1000.7;0;84;0;0;5;2.5;16500;209;13.4;8;0;866,1969147
1;2;8;999.9;0;84;0;0;4.8;2.4;15260;205;14.2;8.7;0;870,3879395
1;3;8;998.9;0;85;0;0;4.8;2.4;14990;204;16.5;10.6;0;891,6254089
1;4;8;998.7;0;82;0;0;4.9;2.1;15700;208;15.3;9.1;0;931,2000397
1;5;8;997.9;0;83;0;0;4.9;2.2;15120;206;16.7;9.2;0;1007,145749
1;6;8;997.2;0;84;0;0;4.8;2.3;15620;198;18.3;10.2;0;1016,130502
1;7;8;997.1;0;83;0;0;4.7;2.1;16270;203;18.9;11.3;0;1031,207837
1;8;8;996.3;0;84;0;0;4.6;2.2;14230;196;20.5;11.4;0;1050,069135
1;9;8;996.3;0;84;0;0;4.6;2.1;10890;207;19.7;11.1;0;1052,827203
1;10;8;995.3;0;86;0;0;4.5;2.3;17710;203;18.8;11.2;0;1062,426184
1;11;8;994.6;0.1;90;0.3;0;4.3;2.8;9230;199;17.9;12;0;1094,32157
1;12;8;993.8;0;89;0;0;4.4;2.8;18480;202;16.3;10.2;0;1073,728409
1;13;8;992.8;0.1;94;0.3;0;4.6;3.7;6440;197;19.9;12.3;0;1069,067251
1;14;8;992.2;0.3;94;0.3;0;5;4.2;6690;197;17;11;0;1049,147567
1;15;8;991.3;0.2;96;0;0;5.2;4.5;7320;198;15.3;8.9;0;1021,089948
1;16;7;990.8;0.1;93;0;0;5.5;4.5;17200;201;14;8.6;0;1003,64217
1;17;7;990.5;0.6;93;0.3;0;5.3;4.3;26400;215;9.9;5.8;0;1039,307671
1;18;1;990.6;0;91;0;0;4.6;3.3;49690;220;10.3;6.5;0;1047,689091
1;19;7;990.8;0;81;0;0;4.4;1.5;50000;224;11.4;7.9;0;1044,033891
1;20;5;991.3;0;72;0;0;3.8;-0.7;50000;219;10.9;6.2;0;1039,772768
1;21;0;992;0;61;0;0;3;-3.8;50000;226;13;7.7;0;1033,202266
1;22;0;991.9;0;59;0;0;1.9;-5.3;50000;222;10.2;6.3;0;1041,818671
1;23;0;991.6;0;58;0;0;1.1;-6.2;50000;205;8.6;5.4;0;1052,960889
1;0;1;990.1;0;57;0;0;1;-6.5;50000;188;6.8;4.7;0;1015,713771
1;1;0;989.4;0;68;0;0;2.8;-2.6;50000;202;11.7;7;0;943,5253822
1;2;7;988.5;0;70;0;0;3;-1.9;44220;212;11.5;5.9;0;950,4626495
1;3;1;987.6;0.3;80;0;0;2.3;-0.8;42210;205;8.2;5.6;0;986,1461018
1;4;0;987;0;74;0;0;2.3;-1.8;43750;208;9.2;6;0;999,6753708
1;5;3;986.6;0;72;0;0;2.3;-2.3;47790;199;9.4;6;0;1038,829922
1;6;0;986;0;68;0;0;1.6;-3.7;50000;211;8;5.3;0;1076,126807
1;7;0;985.8;0;67;0;0;1.2;-4.2;50000;209;8.3;5.9;0;1139,098751
1;8;0;985.8;0;71;0;0;1;-3.6;50000;203;9.6;5.7;0;1149,129459
1;9;0;985.6;0;67;0;0;1.4;-4;50000;205;11;7.2;0;1132,735091
1;10;0;985.4;0;65;0;0;1.6;-4.3;50000;212;10.2;7.2;20;1153,542107
1;11;0;985.3;0;66;0;0;1.9;-3.8;50000;222;10.8;7.1;20;1169,476285
1;12;7;986;0;67;0;0;2.4;-3.1;50000;223;9.3;5.7;20;1153,555701
1;13;5;986;0;69;0;0;2.7;-2.4;50000;225;12.3;7.8;10;1131,173402
1;14;7;987.7;0;78;0;0;2.3;-1.2;36420;278;8.4;5.5;0;1149,44621
1;15;7;988.6;0;73;0;0;2.4;-1.9;50000;251;12.2;7.1;0;1153,271664
1;16;3;990.3;0;70;0;0;2;-2.9;50000;266;12;6.9;0;1157,088585
1;17;3;992;0;66;0;0;2.1;-3.6;50000;268;10.4;5.8;0;1154,038654
1;18;3;993.6;0;64;0;0;1.8;-4.2;50000;277;9.8;5.7;0;1164,75135
1;19;3;995.1;0;63;0;0;1.6;-4.7;50000;281;12;6.3;0;1155,545037
1;20;3;997.2;0;69;0;0;1.2;-3.8;50000;278;13.4;6.7;0;1141,889736
1;21;1;999.1;0;71;0;0;0.7;-3.9;50000;285;9.5;4.8;0;1110,813125
1;22;1;1000.8;0;69;0;0;0.1;-4.8;50000;275;10;6;0;1151,692384
1;23;0;1002.1;0;65;0;0;-0.3;-6.1;50000;275;11.3;5.6;0;1158,425339
1;0;0;1003.6;0;61;0;0;-0.5;-7.2;50000;280;10.1;6.3;0;1148,209858
1;1;3;1004.9;0;63;0;0;-1;-7.1;50000;267;8.6;5.6;0;1141,284489
1;2;7;1006.7;0;62;0;0;-0.6;-6.9;50000;278;9.3;5.7;0;1146,658746
1;3;8;1008.1;0;61;0;0;0;-6.6;50000;293;11.6;6.1;0;1118,263988
1;4;8;1009.7;0;63;0;0;0;-6.2;50000;294;10.1;5.9;0;1130,659175
1;5;8;1011.6;0;64;0;0;-0.3;-6.4;50000;299;11.8;6.6;0;1172,312745
1;6;7;1013.5;0;60;0;0;-0.5;-7.3;50000;305;14.1;7;0;1217,741915
1;7;7;1015.4;0;63;0;0;-0.9;-6.9;50000;294;9.4;5.2;0;1256,143147
1;8;0;1017.2;0;62;0;0;-1.8;-8.2;50000;297;10.3;5.7;0;1321,156915
1;9;0;1017.9;0;59;0;0;-1.9;-8.9;49250;305;7.7;3.7;20;1372,573388
1;10;0;1018.4;0;54;0;0;-2.1;-10.2;47500;305;9.4;5;20;1355,402451
1;11;0;1019.3;0;52;0;0;-2.3;-10.9;50000;304;5;2.9;20;1362,250091
1;12;0;1020.3;0;49;0;0;-2.3;-11.7;50000;277;5;3;20;1366,363235
1;13;0;1021.5;0;54;0;0;-3.1;-11;50000;263;4.8;3;0;1406,731819
1;14;0;1021.8;0;60;0;0;-4.2;-10.7;44990;260;4.5;2.7;20;1415,478433
1;15;0;1021.6;0;64;0;0;-4.8;-10.7;29960;232;1.6;1.1;0;1429,527286
1;16;0;1021.4;0;65;0;0;-4.5;-10;39210;165;2.4;1.8;0;1417,786106
1;17;3;1021.5;0;69;0;0;-3.8;-8.6;41850;217;5;3.7;0;1382,931347
1;18;7;1020.3;0;65;0;0;-3.2;-9;50000;171;4.2;2.8;0;1325,809728
1;19;7;1019.1;0;58;0;0;-0.9;-8.1;50000;150;7.6;4.2;0;1271,181745
1;20;7;1018.1;0;58;0;0;0.4;-7;50000;159;10.2;4.7;0;1174,879685
1;21;7;1017;0;68;0;0;0.7;-4.6;40970;165;9.8;5.1;0;1138,189339
1;22;7;1016.5;0.3;94;0.8;0;-0.3;-1.2;840;174;13.6;8.7;0;1150,463499
1;23;8;1015;1.4;98;1.1;3;0.1;-0.2;1090;149;13.7;9;0;1121,112563
1;0;8;1013.7;0.6;97;1;4;0.4;0;1960;156;15;9.1;0;1112,086518
1;1;8;1012.7;0.4;97;0.2;5;0.6;0.2;4150;158;13.6;7.7;0;1087,802801
1;2;7;1012;0.9;97;1.1;5;0.9;0.5;4500;175;11.9;7.6;0;1074,376562
1;3;7;1011.7;0.9;98;0;5;1.5;1.3;5440;194;9.2;6.2;0;1035,662714
1;4;7;1011.6;0.1;98;0;5;1.6;1.3;48480;236;5.7;4;0;1081,641692
1;5;7;1012;0;98;0;5;1.3;1;37910;229;5.3;3.9;0;1151,245095
1;6;7;1012.5;0;97;0;5;1.1;0.7;24910;235;7.1;3.7;0;1172,306917
1;7;7;1013.1;0;96;0;4;1.2;0.6;14260;240;7.5;4.2;0;1200,341142
1;8;7;1013.6;0;98;0;4;1.1;0.7;9660;236;7.1;3.8;0;1214,557608
1;9;7;1013.8;0;98;0;4;1.2;0.9;8570;239;6.7;3.9;0;1235,771537
1;10;7;1013.9;0;98;0;4;1.2;0.8;8630;229;7.4;4.2;0;1252,026297
1;11;7;1014.1;0;98;0;3;1.2;0.9;9470;221;5;3;0;1273,949566
1;12;7;1014.4;0;98;0;3;1.1;0.9;10820;222;6.4;4.1;0;1269,735544
1;13;7;1014.4;0;99;0;3;1;0.9;6290;211;5.3;3.9;0;1264,122471
1;14;7;1014.6;0;99;0;3;0.9;0.7;8380;230;4.6;2.9;0;1266,964249
1;15;7;1014.8;0;100;0;2;0.7;0.7;2470;201;6.3;4.1;0;1250,343253
1;16;9;1014.7;0;100;0;2;1;1;790;209;8;4.7;0;1195,149286
1;17;9;1014.5;0;100;0;2;1.6;1.6;490;178;2.9;1.5;0;1174,856594
1;18;7;1014.4;0;100;0;0;2.5;2.5;2820;216;8.2;4.6;0;1143,592115
1;19;7;1014.5;0;100;0;0;2.8;2.8;3100;201;8.2;4.8;0;1097,13243
1;20;7;1014.3;0.1;100;0;0;3.5;3.5;5340;198;8.9;5.8;0;1035,788901
1;21;7;1014.2;0.2;99;0;0;3.6;3.5;4680;191;8;4.9;0;989,9170246
1;22;7;1013.8;0.1;98;0;0;3.9;3.6;6560;189;10.5;6.5;0;974,7055262
1;23;7;1013.5;0.2;99;0.5;0;4;3.9;2700;189;7.6;5.1;0;950,7761974
1;0;7;1013.5;0.1;97;0;0;4;3.6;10090;201;7.7;4.8;0;938,6240734
1;1;7;1013.3;0.1;98;0.3;0;4.1;3.8;7430;189;8.9;6.3;0;925,920713
1;2;7;1013;0.2;99;0.2;0;4;3.9;2580;187;9.1;5.8;0;925,884626
1;3;7;1012.9;0.2;99;0;0;4;3.9;2750;189;10.5;6.4;0;939,2876163
1;4;7;1012.9;0.1;98;0;0;4;3.7;6040;192;9.3;6.3;0;1006,430172
1;5;7;1012.5;0.1;99;0;0;4.1;4;2370;186;10.5;6.8;0;1080,969924
1;6;7;1012.7;0.1;100;0;0;4.1;4.1;1820;188;11.9;7.8;0;1096,256015
1;7;8;1012.8;0.2;100;0.3;0;4.4;4.4;2140;191;10.3;7.4;0;1096,085155
1;8;8;1012.9;0.2;100;0.2;0;4.5;4.4;2590;190;7.8;5.4;0;1084,589639
1;9;8;1013.1;0.1;100;0;0;4.7;4.7;12630;199;7.9;5.8;0;1056,655114
1;10;8;1013.4;0;98;0;0;5.1;4.8;27760;201;8.7;5.3;10;1045,610346
1;11;8;1013.6;0;95;0;0;5.4;4.6;50000;203;9.1;6.1;10;1038,383226
1;12;8;1013.3;0;94;0;0;5.5;4.5;31450;196;9.8;6.2;20;1030,989677
1;13;7;1013.4;0;92;0;0;5.2;4.1;46320;197;9.6;6.2;0;1029,023824
1;14;7;1013.5;0;93;0;0;5;3.9;10690;197;11;7.3;0;1044,330229
1;15;8;1013.7;0.2;93;0.4;0;4.6;3.5;7810;201;12.9;7.7;0;1074,106288
1;16;8;1014;0.3;97;0.4;0;4.4;4;4560;209;10.3;5.7;0;1064,391221
1;17;8;1013.8;0.6;95;0;0;4.3;3.6;10260;198;12.2;8.4;0;1073,039342
1;18;8;1013.7;0.3;96;0.5;0;4.2;3.6;8400;203;11.9;6.9;0;1064,078688
1;19;8;1012.9;0.1;96;0;0;4.5;4;6280;199;10.1;6.7;0;1028,213356
1;20;7;1012.6;0.1;94;0;0;4.8;3.9;16630;196;14.4;8.7;0;982,6598618
1;21;7;1012.1;0;92;0;0;4.8;3.6;13630;198;14.9;8.9;0;962,0376312
1;22;8;1011.9;0;91;0;0;4.5;3.2;11610;193;12.4;7;0;940,5532043
1;23;8;1011.2;0;90;0;0;4.3;2.8;14620;189;15.1;9.9;0;904,6125137
1;0;8;1010.7;0;91;0;0;4.3;2.9;16350;189;16.2;10.2;0;919,9196783
1;1;8;1009.8;0;91;0;0;4.5;3.2;19060;187;15.5;9.4;0;891,7028432
1;2;8;1008.3;0;92;0;0;4.6;3.4;13070;186;17.9;10.7;0;907,7596737
1;3;8;1007.6;0;90;0;0;4.7;3.2;17490;183;17.1;11.9;0;925,9752908
1;4;8;1006;0;90;0;0;4.8;3.3;15560;177;18.5;10.4;0;988,1265724
1;5;8;1004.8;0.5;95;0.7;0;4.7;3.9;7620;178;17.7;10.6;0;1045,928567
1;6;8;1003.7;0;93;0;0;4.9;3.9;10820;180;17.2;11.5;0;1032,643418
1;7;8;1002.2;0.1;92;0.4;0;4.9;3.7;8760;178;16.2;10.9;0;1050,709785
1;8;8;1001.7;0.4;95;0.8;0;4.6;3.9;2580;186;19.9;12.7;0;1091,444983
1;9;8;1000;1.5;96;0.5;0;4.7;4.2;8760;186;17;10.5;0;1064,469371
1;10;8;999.4;0.3;96;0.5;0;5.1;4.6;5360;191;19.2;12.6;10;1062,515825
